pool_id,question,pool_type,category,show_tag,options_list,response,points_earned,is_winner,responded_at,username,dna_archetype,favorite_genres,tv_shows_watched,movies_watched,books_read,trivia_points,reviews_written,current_streak,longest_streak,last_login
a1e451a5-2fe8-4127-b4fd-12baff69f79d,"Will ""Reminders of Him"" be better or worse than ""It Ends With Us""?",predict,movie,,"[""Better"", ""Worse""]",Worse,0,,2026-03-09 20:25:38.256+00,,Energetic World-Hopper,"{Action,Comedy,Documentaries,Nonfiction}",5,11,1,70,0,1,2,2026-04-30
a1e451a5-2fe8-4127-b4fd-12baff69f79d,"Will ""Reminders of Him"" be better or worse than ""It Ends With Us""?",predict,movie,,"[""Better"", ""Worse""]",Worse,0,,2026-03-09 20:34:48.69+00,,World-Hopping Drama Buff,"{Action,Animation,Comedy,Crime,Drama,Fantasy}",12,7,4,200,2,,,
a1e451a5-2fe8-4127-b4fd-12baff69f79d,"Will ""Reminders of Him"" be better or worse than ""It Ends With Us""?",predict,movie,,"[""Better"", ""Worse""]",Better,0,,2026-03-10 21:59:52.523+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
a1e451a5-2fe8-4127-b4fd-12baff69f79d,"Will ""Reminders of Him"" be better or worse than ""It Ends With Us""?",predict,movie,,"[""Better"", ""Worse""]",Better,0,,2026-03-12 01:59:07.889+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
1948e90c-e1bb-4e87-ada5-72d53d03865a,Will Taylor Frankie Paul's Season ever air?,predict,movie,,"[""Yes"", ""No""]",No,0,,2026-04-07 23:37:21.441+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
1948e90c-e1bb-4e87-ada5-72d53d03865a,Will Taylor Frankie Paul's Season ever air?,predict,movie,,"[""Yes"", ""No""]",No,0,,2026-04-10 01:48:03.113+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
1948e90c-e1bb-4e87-ada5-72d53d03865a,Will Taylor Frankie Paul's Season ever air?,predict,movie,,"[""Yes"", ""No""]",Yes,0,,2026-04-27 21:30:21.56+00,,Mystery-Loving Escapist,"{Comedy,Crime,Drama,Fantasy,Mystery/Thriller,""Science Fiction"",Documentaries,""Self Help""}",64,10,636,0,27,1,6,2026-05-06
1948e90c-e1bb-4e87-ada5-72d53d03865a,Will Taylor Frankie Paul's Season ever air?,predict,movie,,"[""Yes"", ""No""]",Yes,0,,2026-04-28 01:22:43.283+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
1948e90c-e1bb-4e87-ada5-72d53d03865a,Will Taylor Frankie Paul's Season ever air?,predict,movie,,"[""Yes"", ""No""]",No,0,,2026-04-28 12:56:15.26+00,,Mood-Swing Sleuth,"{Crime,Drama,Comedy}",0,0,0,120,0,,,
6a38dba1-3cd7-4279-8655-15269b51c6af,Do you think Chris Evans will return as Captain America?,predict,Movies,Marvel Cinematic Universe,"[""Yes, he will"", ""No, he's done""]","No, he's done",0,,2026-04-28 01:23:58.508+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
3193f7e5-25ef-442c-9eaf-84d7906651d8,Is the hype for Avatar sequels justified after all these years?,predict,Movies,Avatar,"[""Yes, totally"", ""No, it's overhyped""]","No, it's overhyped",20,,2026-04-28 13:20:38.035+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
3193f7e5-25ef-442c-9eaf-84d7906651d8,Is the hype for Avatar sequels justified after all these years?,predict,Movies,Avatar,"[""Yes, totally"", ""No, it's overhyped""]","No, it's overhyped",20,,2026-04-28 18:48:09.999+00,,Mystery-Loving Escapist,"{Comedy,Crime,Drama,Fantasy,Mystery/Thriller,""Science Fiction"",Documentaries,""Self Help""}",64,10,636,0,27,1,6,2026-05-06
3193f7e5-25ef-442c-9eaf-84d7906651d8,Is the hype for Avatar sequels justified after all these years?,predict,Movies,Avatar,"[""Yes, totally"", ""No, it's overhyped""]","No, it's overhyped",20,,2026-04-28 19:26:08.25+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
17dfdfd8-47c7-4c36-98d4-4fe222596a86,Is the new Dune sequel destined for box office glory?,predict,Movies,Dune,"[""Yes, for sure"", ""No, it'll flop""]","Yes, for sure",20,,2026-04-27 21:25:46.784+00,,Time-Traveling Escapist,"{Fantasy,Historical,Action,Comedy,Drama,Rom-com/chick-lit,""Science Fiction"",Documentaries}",3,0,0,0,3,1,1,2026-05-05
17dfdfd8-47c7-4c36-98d4-4fe222596a86,Is the new Dune sequel destined for box office glory?,predict,Movies,Dune,"[""Yes, for sure"", ""No, it'll flop""]","No, it'll flop",20,,2026-04-27 21:46:00.779+00,,Emotional Puzzle-Sleuth,"{Comedy,Fantasy,Historical,Mystery/Thriller,""Science Fiction"",Documentaries,Drama}",0,1,2,0,2,1,1,2026-04-27
17dfdfd8-47c7-4c36-98d4-4fe222596a86,Is the new Dune sequel destined for box office glory?,predict,Movies,Dune,"[""Yes, for sure"", ""No, it'll flop""]","Yes, for sure",20,,2026-04-27 21:46:22.991+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
17dfdfd8-47c7-4c36-98d4-4fe222596a86,Is the new Dune sequel destined for box office glory?,predict,Movies,Dune,"[""Yes, for sure"", ""No, it'll flop""]","Yes, for sure",20,,2026-04-27 22:55:09.192+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
17dfdfd8-47c7-4c36-98d4-4fe222596a86,Is the new Dune sequel destined for box office glory?,predict,Movies,Dune,"[""Yes, for sure"", ""No, it'll flop""]","No, it'll flop",20,,2026-04-27 23:15:33.841+00,,,,0,2,0,0,0,1,1,2026-04-27
d92ac23e-4da2-4732-a7db-58f286d0832f,Pick your favorite superhero team:,predict,Movies,,"[""Avengers"", ""Justice League"", ""X-Men"", ""Fantastic Four""]",Avengers,0,,2026-04-28 01:24:40.972+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
d92ac23e-4da2-4732-a7db-58f286d0832f,Pick your favorite superhero team:,predict,Movies,,"[""Avengers"", ""Justice League"", ""X-Men"", ""Fantastic Four""]",X-Men,20,,2026-05-08 01:23:00.296+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
12e434cb-9cc9-4f1e-8b89-4caba7bdd012,Team Edward or Team Jacob?,predict,Movies,Twilight,"[""Team Edward"", ""Team Jacob""]",Team Jacob,0,,2026-04-28 01:24:06.272+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
6856dea6-7de9-47a4-92bb-133f6775540c,Which adaptation was better: 'The Lion King' animated or live-action?,predict,Movies,The Lion King,"[""Animated"", ""Live-action""]",Animated,0,,2026-04-28 01:24:18.757+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
be575229-c1a1-448f-8779-21b773f16a4a,Who is the ultimate action movie star?,predict,Movies,,"[""Arnold Schwarzenegger"", ""Sylvester Stallone"", ""Bruce Willis"", ""Dwayne Johnson""]",Bruce Willis,20,,2026-05-02 04:27:20.803+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
5369b800-6389-4b59-bfb1-5da9f7ba23c5,Will Greta Gerwig's Narnia adaptation redefine the fantasy genre?,predict,Movies,The Chronicles of Narnia,"[""Yes, revolutionary"", ""No, too safe""]","Yes, revolutionary",20,,2026-04-19 14:23:03.139+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
3b3a2798-8bcd-427e-9f6d-ca003393879a,Will the new Hunger Games prequel meet fan expectations?,predict,Movies,The Hunger Games,"[""Yes, for sure"", ""No, it won't""]","Yes, for sure",20,,2026-04-21 20:51:36.892+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
3b3a2798-8bcd-427e-9f6d-ca003393879a,Will the new Hunger Games prequel meet fan expectations?,predict,Movies,The Hunger Games,"[""Yes, for sure"", ""No, it won't""]","No, it won't",0,,2026-04-28 01:23:49.149+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
2ed09e9d-2cfa-402e-b526-c511c5866e14,Will the new Star Wars film trilogy succeed?,predict,Movies,Star Wars,"[""Yes, it'll be epic"", ""No, it'll fall flat""]","Yes, it'll be epic",20,,2026-04-24 23:57:20.897+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
816f4066-26e0-48f8-9da2-8d98c3f74935,Will the upcoming James Bond film redefine the franchise?,predict,Movies,James Bond,"[""Yes, groundbreaking"", ""No, more of the same""]","No, more of the same",20,,2026-04-26 07:03:09.077+00,,,,0,0,0,0,0,1,1,2026-04-26
816f4066-26e0-48f8-9da2-8d98c3f74935,Will the upcoming James Bond film redefine the franchise?,predict,Movies,James Bond,"[""Yes, groundbreaking"", ""No, more of the same""]","No, more of the same",20,,2026-04-26 23:20:59.361+00,,Energetic World-Hopper,"{Action,Comedy,Documentaries,Nonfiction}",5,11,1,70,0,1,2,2026-04-30
816f4066-26e0-48f8-9da2-8d98c3f74935,Will the upcoming James Bond film redefine the franchise?,predict,Movies,James Bond,"[""Yes, groundbreaking"", ""No, more of the same""]","No, more of the same",20,,2026-04-27 04:02:13.901+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
816f4066-26e0-48f8-9da2-8d98c3f74935,Will the upcoming James Bond film redefine the franchise?,predict,Movies,James Bond,"[""Yes, groundbreaking"", ""No, more of the same""]","Yes, groundbreaking",20,,2026-04-27 04:05:35.282+00,,,,1,1,2,0,0,1,1,2026-05-06
816f4066-26e0-48f8-9da2-8d98c3f74935,Will the upcoming James Bond film redefine the franchise?,predict,Movies,James Bond,"[""Yes, groundbreaking"", ""No, more of the same""]","No, more of the same",20,,2026-04-27 04:25:55.203+00,,,,2,1,1,0,0,1,1,2026-04-26
bf199424-c66d-41f9-b777-96bc49c1b3f9,Is Billie Eilish on the verge of releasing another hit album?,predict,Music,Billie Eilish,"[""Yes, any day now"", ""No, not yet""]","Yes, any day now",20,,2026-04-16 16:57:25.857+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
0eccf5aa-1215-429c-a3cf-f9111cc540c0,Is Dua Lipa's next era going to be her best yet?,predict,Music,Dua Lipa,"[""Yes, without a doubt"", ""No, she's peaked""]","No, she's peaked",20,,2026-04-24 05:00:51.633+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
62a3d3c2-8d90-4a6e-afb0-bddea318607b,Will Taylor Swift's next album break streaming records?,predict,Music,Taylor Swift,"[""Yes, for sure"", ""Not this time""]","Yes, for sure",0,,2026-04-28 01:24:26.846+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
62a3d3c2-8d90-4a6e-afb0-bddea318607b,Will Taylor Swift's next album break streaming records?,predict,Music,Taylor Swift,"[""Yes, for sure"", ""Not this time""]","Yes, for sure",20,,2026-05-10 03:49:06.211+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
7b0db568-df43-48de-8725-97b58e0b801c,Best fictional school to attend:,predict,Pop Culture,,"[""Hogwarts"", ""Xavier's School for Gifted Youngsters"", ""Starfleet Academy"", ""Camp Half-Blood""]",Xavier's School for Gifted Youngsters,0,,2026-04-28 01:24:55.041+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
7b0db568-df43-48de-8725-97b58e0b801c,Best fictional school to attend:,predict,Pop Culture,,"[""Hogwarts"", ""Xavier's School for Gifted Youngsters"", ""Starfleet Academy"", ""Camp Half-Blood""]",Hogwarts,20,,2026-05-05 22:34:02.091+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
7b0db568-df43-48de-8725-97b58e0b801c,Best fictional school to attend:,predict,Pop Culture,,"[""Hogwarts"", ""Xavier's School for Gifted Youngsters"", ""Starfleet Academy"", ""Camp Half-Blood""]",Hogwarts,20,,2026-05-06 01:42:07.639+00,,Time-Traveling Escapist,"{Fantasy,Historical,Action,Comedy,Drama,Rom-com/chick-lit,""Science Fiction"",Documentaries}",3,0,0,0,3,1,1,2026-05-05
d25b31c4-4ba5-4a4a-aff1-44ce8eb4c36b,Will Secret Lives of Mormon Wives: OC flop — or will the drama carry it anyway?,predict,Pop Culture,,"[""Flop"", ""Succeed"", ""👀 🍿🍿🍿🍿""]",👀 🍿🍿🍿🍿,0,,2026-04-28 01:23:01.685+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
64a1c95a-b024-4267-921b-d5ba46e9407f,"ABC pulled Taylor Frankie Paul's Bachelorette season. Who steps in next?""",predict,tv,,"[""Ilona Maher"", ""Jenn Tran"", ""Kristin Cavallari"", ""Kristin Cavallari ""]",Ilona Maher,0,,2026-05-05 23:01:46.232+00,,,,1,1,2,0,0,1,1,2026-05-06
64a1c95a-b024-4267-921b-d5ba46e9407f,"ABC pulled Taylor Frankie Paul's Bachelorette season. Who steps in next?""",predict,tv,,"[""Ilona Maher"", ""Jenn Tran"", ""Kristin Cavallari"", ""Kristin Cavallari ""]",Kristin Cavallari,0,,2026-05-08 01:23:47.177+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
64a1c95a-b024-4267-921b-d5ba46e9407f,"ABC pulled Taylor Frankie Paul's Bachelorette season. Who steps in next?""",predict,tv,,"[""Ilona Maher"", ""Jenn Tran"", ""Kristin Cavallari"", ""Kristin Cavallari ""]",Ilona Maher,0,,2026-05-09 02:02:59.486+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
80f67d54-b6e7-48aa-844c-3de7b4629249,Does 'The Wheel of Time' become the next Big Fantasy Hit?,predict,TV,The Wheel of Time,"[""Yes, it's got potential"", ""No, it's not quite there""]","Yes, it's got potential",0,,2026-04-28 01:24:47.544+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
80f67d54-b6e7-48aa-844c-3de7b4629249,Does 'The Wheel of Time' become the next Big Fantasy Hit?,predict,TV,The Wheel of Time,"[""Yes, it's got potential"", ""No, it's not quite there""]","No, it's not quite there",20,,2026-05-06 17:36:27.979+00,,Mystery-Loving Escapist,"{Comedy,Crime,Drama,Fantasy,Mystery/Thriller,""Science Fiction"",Documentaries,""Self Help""}",64,10,636,0,27,1,6,2026-05-06
80f67d54-b6e7-48aa-844c-3de7b4629249,Does 'The Wheel of Time' become the next Big Fantasy Hit?,predict,TV,The Wheel of Time,"[""Yes, it's got potential"", ""No, it's not quite there""]","No, it's not quite there",20,,2026-05-06 20:18:29.719+00,,,,1,1,2,0,0,1,1,2026-05-06
80f67d54-b6e7-48aa-844c-3de7b4629249,Does 'The Wheel of Time' become the next Big Fantasy Hit?,predict,TV,The Wheel of Time,"[""Yes, it's got potential"", ""No, it's not quite there""]","No, it's not quite there",20,,2026-05-06 20:29:54.429+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
68d9e81e-7db5-47fe-b137-4f09153712ba,Is 'Succession' the best drama series of the decade?,predict,TV,Succession,"[""YES, it's brilliant"", ""No, there's better""]","No, there's better",20,,2026-04-30 18:17:54.898+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
c46455db-8b2e-4925-abc9-4da55a32a699,Is 'The Last of Us' destined to become the biggest video game adaptation?,predict,TV,The Last of Us,"[""Absolutely"", ""Not likely""]",Not likely,20,,2026-05-04 15:43:51.323+00,,,,0,0,0,0,0,1,2,2026-05-08
c46455db-8b2e-4925-abc9-4da55a32a699,Is 'The Last of Us' destined to become the biggest video game adaptation?,predict,TV,The Last of Us,"[""Absolutely"", ""Not likely""]",Not likely,20,,2026-05-04 19:32:30.496+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
bd6dddd9-3c1d-485e-9831-9acc70124a6a,This series finale left me speechless:,predict,TV,,"[""Breaking Bad"", ""The Sopranos"", ""Game of Thrones"", ""Mad Men""]",The Sopranos,20,,2026-04-26 01:52:00.024+00,,Chronicle-Driven Connector,"{Action,Comedy,Crime,Drama,Historical,Romance,Rom-com/chick-lit}",51,58,726,740,6,1,7,2026-05-11
984aedd1-eeff-46fb-831d-5085ad5c13b0,Which 90s sitcom deserves a reboot?,predict,TV,,"[""Friends"", ""The Fresh Prince of Bel-Air"", ""Seinfeld"", ""Frasier""]",Seinfeld,0,,2026-04-28 01:25:10.579+00,,Emotional Sleuth,"{Animation,Comedy,Crime,""Lifestyle (Home Reno, Food, Travel)"",Mystery/Thriller,Rom-com/chick-lit,Documentaries}",0,0,0,10,0,,,
c405f1ff-b3fb-40e9-8322-c32ad6d5eb37,In which book series would you find the character Daenerys Targaryen?,trivia,Books,Game of Thrones,"[""The Wheel of Time"", ""A Song of Ice and Fire"", ""Percy Jackson & the Olympians"", ""Mistborn""]",A Song of Ice and Fire,10,,2026-04-19 14:25:08.514078+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
c405f1ff-b3fb-40e9-8322-c32ad6d5eb37,In which book series would you find the character Daenerys Targaryen?,trivia,Books,Game of Thrones,"[""The Wheel of Time"", ""A Song of Ice and Fire"", ""Percy Jackson & the Olympians"", ""Mistborn""]",A Song of Ice and Fire,10,,2026-04-27 21:02:19.863798+00,,Mystery-Loving Escapist,"{Comedy,Crime,Drama,Fantasy,Mystery/Thriller,""Science Fiction"",Documentaries,""Self Help""}",64,10,636,0,27,1,6,2026-05-06
c405f1ff-b3fb-40e9-8322-c32ad6d5eb37,In which book series would you find the character Daenerys Targaryen?,trivia,Books,Game of Thrones,"[""The Wheel of Time"", ""A Song of Ice and Fire"", ""Percy Jackson & the Olympians"", ""Mistborn""]",A Song of Ice and Fire,10,,2026-04-27 21:30:24.800288+00,,Time-Traveling Escapist,"{Fantasy,Historical,Action,Comedy,Drama,Rom-com/chick-lit,""Science Fiction"",Documentaries}",3,0,0,0,3,1,1,2026-05-05
c405f1ff-b3fb-40e9-8322-c32ad6d5eb37,In which book series would you find the character Daenerys Targaryen?,trivia,Books,Game of Thrones,"[""The Wheel of Time"", ""A Song of Ice and Fire"", ""Percy Jackson & the Olympians"", ""Mistborn""]",A Song of Ice and Fire,10,,2026-04-27 21:40:35.645542+00,,Emotional Puzzle-Sleuth,"{Comedy,Fantasy,Historical,Mystery/Thriller,""Science Fiction"",Documentaries,Drama}",0,1,2,0,2,1,1,2026-04-27
db513506-844e-4f0f-9d2c-08d925ca844c,What is the name of Holden Caulfield's sister in The Catcher in the Rye?,trivia,Books,The Catcher in the Rye,"[""Jane"", ""Phoebe"", ""Sally"", ""Susie""]",Sally,0,,2026-04-27 21:01:02.391736+00,,Mystery-Loving Escapist,"{Comedy,Crime,Drama,Fantasy,Mystery/Thriller,""Science Fiction"",Documentaries,""Self Help""}",64,10,636,0,27,1,6,2026-05-06
db513506-844e-4f0f-9d2c-08d925ca844c,What is the name of Holden Caulfield's sister in The Catcher in the Rye?,trivia,Books,The Catcher in the Rye,"[""Jane"", ""Phoebe"", ""Sally"", ""Susie""]",Phoebe,10,,2026-04-27 21:38:11.058811+00,,Emotional Puzzle-Sleuth,"{Comedy,Fantasy,Historical,Mystery/Thriller,""Science Fiction"",Documentaries,Drama}",0,1,2,0,2,1,1,2026-04-27
db513506-844e-4f0f-9d2c-08d925ca844c,What is the name of Holden Caulfield's sister in The Catcher in the Rye?,trivia,Books,The Catcher in the Rye,"[""Jane"", ""Phoebe"", ""Sally"", ""Susie""]",Phoebe,10,,2026-04-28 13:24:40.044126+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
db513506-844e-4f0f-9d2c-08d925ca844c,What is the name of Holden Caulfield's sister in The Catcher in the Rye?,trivia,Books,The Catcher in the Rye,"[""Jane"", ""Phoebe"", ""Sally"", ""Susie""]",Sally,0,,2026-04-28 17:21:21.17294+00,,Heartfelt World-Hopper • NYC Edition,"{Comedy,Drama,Historical,Rom-com/chick-lit,Mystery/Thriller,Documentaries}",4,1,1,0,0,1,1,2026-05-09
8f7ce21d-0b05-4649-9565-7e36f2327176,What is the real name of the character known as 'The Boy Who Lived'?,trivia,Books,Harry Potter,"[""Harry Potter"", ""Tom Riddle"", ""Neville Longbottom"", ""Albus Dumbledore""]",Neville Longbottom,0,,2026-04-19 14:24:55.802968+00,,Emotion-Hunting Whodunit Fan,"{Reality,Documentaries,Comedy,Mystery/Thriller,Drama}",29,13,11,1100,0,1,2,2026-05-11
8f7ce21d-0b05-4649-9565-7e36f2327176,What is the real name of the character known as 'The Boy Who Lived'?,trivia,Books,Harry Potter,"[""Harry Potter"", ""Tom Riddle"", ""Neville Longbottom"", ""Albus Dumbledore""]",Harry Potter,10,,2026-04-27 21:01:59.228078+00,,Mystery-Loving Escapist,"{Comedy,Crime,Drama,Fantasy,Mystery/Thriller,""Science Fiction"",Documentaries,""Self Help""}",64,10,636,0,27,1,6,2026-05-06
